,age,nationality,gender,gender_text,hours,years,months,practice,TMS_q1,TMS_q2,TMS_q3,TMS_q4,TMS_q5,TMS_q6,TMS_q7,SSO_q1,SSO_q2,SSO_q3,SSO_q4,SSO_q5,SSO_q6,SSO_q7,SSO_q8,SSO_q9,SSO_q10,SSO_q11,SSO_q12,SSO_q13,SSO_q14,data_option,task_order,platform,user_agent,ID
11,20,"Iran, Islamic Republic of",male,,1,3,3,guided or by my self,moderately,not_at_all,moderately,quite_a_bit,not_at_all,quite_a_bit,a_little,very_often_or_always_true,very_often_or_always_true,often_true,very_often_or_always_true,often_true,very_often_or_always_true,very_often_or_always_true,very_often_or_always_true,very_often_or_always_true,very_often_or_always_true,very_often_or_always_true,very_often_or_always_true,often_true,often_true,FALSE,span_gabor_breath_dots_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",29515
12,19,United Kingdom,male,,0,0,0,,moderately,quite_a_bit,a_little,very_much,a_little,very_much,a_little,sometimes_true,rarely_true,very_often_or_always_true,very_often_or_always_true,often_true,often_true,very_often_or_always_true,very_often_or_always_true,very_often_or_always_true,very_often_or_always_true,rarely_true,sometimes_true,often_true,often_true,TRUE,span_gabor_breath_dots_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",29520
13,20,United States,female,,0,0,0,,a_little,quite_a_bit,quite_a_bit,a_little,a_little,moderately,a_little,rarely_true,sometimes_true,often_true,often_true,sometimes_true,rarely_true,rarely_true,never_or_very_rarely_true,rarely_true,rarely_true,often_true,very_often_or_always_true,often_true,often_true,FALSE,gabor_span_breath_dots_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",29525
14,59,United Kingdom,female,,4,0,0,yoga meditation sessions,moderately,quite_a_bit,a_little,a_little,not_at_all,moderately,a_little,often_true,sometimes_true,sometimes_true,sometimes_true,often_true,often_true,very_often_or_always_true,often_true,very_often_or_always_true,very_often_or_always_true,often_true,often_true,often_true,often_true,TRUE,span_gabor_breath_dots_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",29536
15,19,United Kingdom,male,,2,0,0,,a_little,quite_a_bit,not_at_all,moderately,moderately,quite_a_bit,moderately,sometimes_true,rarely_true,often_true,often_true,very_often_or_always_true,often_true,often_true,often_true,often_true,often_true,often_true,sometimes_true,rarely_true,rarely_true,TRUE,gabor_breath_span_dots_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",29538
16,20,Italy,female,,0,0,0,,not_at_all,a_little,not_at_all,not_at_all,a_little,not_at_all,a_little,sometimes_true,sometimes_true,rarely_true,rarely_true,sometimes_true,rarely_true,never_or_very_rarely_true,rarely_true,rarely_true,rarely_true,sometimes_true,sometimes_true,sometimes_true,sometimes_true,TRUE,span_gabor_breath_dots_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",29542
17,20,Egypt,female,,0,0,0,,a_little,moderately,moderately,a_little,not_at_all,quite_a_bit,quite_a_bit,rarely_true,sometimes_true,sometimes_true,often_true,never_or_very_rarely_true,rarely_true,very_often_or_always_true,rarely_true,rarely_true,sometimes_true,often_true,often_true,sometimes_true,rarely_true,TRUE,gabor_dots_span_breath_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.2 Safari/605.1.15",29543
18,24,United Kingdom,female,,30,1,0,meditation through yoga,moderately,moderately,a_little,quite_a_bit,not_at_all,quite_a_bit,moderately,often_true,often_true,sometimes_true,often_true,very_often_or_always_true,often_true,often_true,sometimes_true,often_true,sometimes_true,very_often_or_always_true,rarely_true,often_true,often_true,FALSE,dots_gabor_span_breath_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",29547
19,19,United Kingdom,male,,8,0,1,,moderately,quite_a_bit,quite_a_bit,very_much,quite_a_bit,moderately,quite_a_bit,often_true,very_often_or_always_true,often_true,often_true,often_true,often_true,rarely_true,often_true,sometimes_true,very_often_or_always_true,often_true,sometimes_true,rarely_true,often_true,FALSE,gabor_dots_breath_span_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",29550
20,22,United Kingdom,female,,5,0,0,,not_at_all,moderately,a_little,moderately,a_little,moderately,moderately,sometimes_true,rarely_true,rarely_true,sometimes_true,sometimes_true,rarely_true,sometimes_true,often_true,sometimes_true,rarely_true,often_true,sometimes_true,sometimes_true,rarely_true,TRUE,breath_span_gabor_dots_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15",29553
21,20,British Indian Ocean Territory,female,,0,0,0,,moderately,a_little,moderately,a_little,a_little,moderately,quite_a_bit,often_true,sometimes_true,sometimes_true,often_true,rarely_true,rarely_true,sometimes_true,rarely_true,sometimes_true,sometimes_true,sometimes_true,often_true,rarely_true,sometimes_true,FALSE,breath_dots_span_gabor_end,sona,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/112.0,29560
22,29,United Kingdom,male,,0,0,0,,not_at_all,a_little,a_little,a_little,not_at_all,a_little,a_little,rarely_true,never_or_very_rarely_true,sometimes_true,sometimes_true,rarely_true,sometimes_true,sometimes_true,sometimes_true,rarely_true,rarely_true,sometimes_true,sometimes_true,rarely_true,never_or_very_rarely_true,TRUE,gabor_breath_span_dots_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",29562
23,19,United Kingdom,female,,0,0,0,,a_little,moderately,a_little,a_little,a_little,quite_a_bit,a_little,sometimes_true,rarely_true,never_or_very_rarely_true,never_or_very_rarely_true,rarely_true,rarely_true,sometimes_true,often_true,sometimes_true,sometimes_true,rarely_true,rarely_true,rarely_true,rarely_true,FALSE,dots_breath_gabor_span_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",29567
24,20,United Kingdom,male,,0,0,0,,not_at_all,moderately,a_little,a_little,moderately,moderately,moderately,rarely_true,rarely_true,sometimes_true,sometimes_true,often_true,sometimes_true,sometimes_true,often_true,often_true,often_true,often_true,very_often_or_always_true,sometimes_true,sometimes_true,TRUE,breath_span_dots_gabor_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",29570
25,21,United Kingdom,male,,0,0,0,,quite_a_bit,moderately,very_much,quite_a_bit,quite_a_bit,moderately,very_much,often_true,often_true,sometimes_true,sometimes_true,very_often_or_always_true,often_true,very_often_or_always_true,often_true,sometimes_true,sometimes_true,often_true,often_true,very_often_or_always_true,very_often_or_always_true,TRUE,dots_breath_gabor_span_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15",29572
26,20,United Kingdom,female,,0,0,0,,a_little,moderately,a_little,a_little,moderately,a_little,a_little,sometimes_true,sometimes_true,often_true,very_often_or_always_true,often_true,sometimes_true,sometimes_true,often_true,sometimes_true,sometimes_true,often_true,sometimes_true,often_true,sometimes_true,FALSE,span_dots_gabor_breath_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",29580
27,19,United Kingdom,female,,0,0,0,i dont meditate,a_little,moderately,quite_a_bit,a_little,moderately,quite_a_bit,moderately,sometimes_true,often_true,often_true,often_true,rarely_true,sometimes_true,very_often_or_always_true,very_often_or_always_true,often_true,often_true,rarely_true,rarely_true,sometimes_true,sometimes_true,FALSE,gabor_span_dots_breath_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",29586
28,22,United Kingdom,male,,0,0,0,,a_little,quite_a_bit,very_much,quite_a_bit,quite_a_bit,quite_a_bit,moderately,rarely_true,rarely_true,never_or_very_rarely_true,never_or_very_rarely_true,often_true,often_true,often_true,often_true,sometimes_true,sometimes_true,often_true,often_true,often_true,often_true,FALSE,breath_dots_span_gabor_end,sona,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",29589
29,20,United Kingdom,female,,0,0,0,,a_little,a_little,a_little,a_little,a_little,a_little,a_little,sometimes_true,rarely_true,sometimes_true,sometimes_true,sometimes_true,sometimes_true,sometimes_true,never_or_very_rarely_true,rarely_true,rarely_true,sometimes_true,rarely_true,rarely_true,rarely_true,FALSE,gabor_span_dots_breath_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",29592
30,22,United Kingdom,female,,100,3,15,EVERYTHING,moderately,quite_a_bit,quite_a_bit,moderately,moderately,quite_a_bit,quite_a_bit,often_true,often_true,often_true,often_true,often_true,often_true,often_true,very_often_or_always_true,very_often_or_always_true,very_often_or_always_true,often_true,often_true,sometimes_true,very_often_or_always_true,FALSE,span_breath_dots_gabor_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.48",29595
31,20,United Kingdom,female,,0,0,0,,moderately,moderately,moderately,not_at_all,a_little,moderately,not_at_all,sometimes_true,sometimes_true,often_true,often_true,sometimes_true,sometimes_true,often_true,often_true,very_often_or_always_true,sometimes_true,very_often_or_always_true,sometimes_true,very_often_or_always_true,sometimes_true,FALSE,dots_gabor_breath_span_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",29598
32,20,Romania,male,,0,0,0,,a_little,not_at_all,quite_a_bit,a_little,moderately,not_at_all,very_much,sometimes_true,often_true,often_true,never_or_very_rarely_true,rarely_true,often_true,never_or_very_rarely_true,never_or_very_rarely_true,rarely_true,sometimes_true,very_often_or_always_true,often_true,very_often_or_always_true,often_true,TRUE,dots_breath_span_gabor_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.58",29600
33,19,United Kingdom,female,,6,0,1,Sleep meditations,a_little,a_little,a_little,not_at_all,not_at_all,moderately,quite_a_bit,very_often_or_always_true,sometimes_true,rarely_true,sometimes_true,sometimes_true,rarely_true,often_true,very_often_or_always_true,often_true,sometimes_true,sometimes_true,rarely_true,sometimes_true,sometimes_true,FALSE,gabor_breath_span_dots_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",29602
34,20,United Kingdom,non_binary,,0,0,0,,moderately,quite_a_bit,a_little,not_at_all,moderately,a_little,a_little,sometimes_true,sometimes_true,sometimes_true,often_true,rarely_true,rarely_true,rarely_true,often_true,rarely_true,rarely_true,very_often_or_always_true,often_true,often_true,sometimes_true,TRUE,breath_span_dots_gabor_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",29603
35,23,United Kingdom,female,,1,0,0,,moderately,quite_a_bit,quite_a_bit,quite_a_bit,a_little,a_little,not_at_all,sometimes_true,rarely_true,never_or_very_rarely_true,never_or_very_rarely_true,sometimes_true,often_true,never_or_very_rarely_true,never_or_very_rarely_true,sometimes_true,often_true,often_true,often_true,often_true,often_true,FALSE,span_gabor_breath_dots_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.58",29607
36,26,United Kingdom,male,,0,0,0,,not_at_all,moderately,not_at_all,a_little,quite_a_bit,not_at_all,not_at_all,rarely_true,rarely_true,never_or_very_rarely_true,never_or_very_rarely_true,sometimes_true,never_or_very_rarely_true,sometimes_true,rarely_true,sometimes_true,sometimes_true,sometimes_true,sometimes_true,sometimes_true,sometimes_true,FALSE,breath_gabor_span_dots_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.62",29618
37,20,United Kingdom,female,,0,0,0,,a_little,moderately,quite_a_bit,quite_a_bit,moderately,quite_a_bit,moderately,sometimes_true,sometimes_true,sometimes_true,sometimes_true,sometimes_true,rarely_true,often_true,often_true,often_true,sometimes_true,often_true,sometimes_true,sometimes_true,sometimes_true,FALSE,dots_span_breath_gabor_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",29629
38,20,United Kingdom,female,,0,0,0,,moderately,moderately,quite_a_bit,quite_a_bit,very_much,very_much,very_much,often_true,rarely_true,very_often_or_always_true,very_often_or_always_true,very_often_or_always_true,often_true,very_often_or_always_true,very_often_or_always_true,often_true,often_true,very_often_or_always_true,very_often_or_always_true,very_often_or_always_true,very_often_or_always_true,FALSE,dots_span_breath_gabor_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15",29636
39,20,United Kingdom,female,,15,1,1,i do mindfullness meditation,quite_a_bit,quite_a_bit,quite_a_bit,moderately,a_little,moderately,a_little,sometimes_true,sometimes_true,often_true,often_true,very_often_or_always_true,very_often_or_always_true,often_true,often_true,often_true,sometimes_true,often_true,rarely_true,sometimes_true,often_true,FALSE,dots_breath_gabor_span_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",29641
40,20,United Kingdom,female,,5,0,1,"breathing
positive affirmations
getting grounded etc",not_at_all,moderately,not_at_all,a_little,a_little,a_little,a_little,sometimes_true,rarely_true,often_true,sometimes_true,often_true,sometimes_true,rarely_true,sometimes_true,sometimes_true,sometimes_true,very_often_or_always_true,often_true,rarely_true,rarely_true,TRUE,gabor_dots_breath_span_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",29642
41,21,United Kingdom,male,,0,0,0,,quite_a_bit,moderately,a_little,a_little,a_little,moderately,moderately,often_true,often_true,often_true,often_true,often_true,often_true,rarely_true,rarely_true,sometimes_true,often_true,often_true,sometimes_true,rarely_true,rarely_true,FALSE,span_gabor_breath_dots_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.58",29644
42,21,United Kingdom,male,,0,0,0,,moderately,moderately,a_little,moderately,moderately,moderately,moderately,often_true,sometimes_true,sometimes_true,sometimes_true,often_true,often_true,sometimes_true,often_true,rarely_true,rarely_true,sometimes_true,sometimes_true,often_true,often_true,FALSE,span_breath_gabor_dots_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",29646
43,19,United Kingdom,male,,2,0,0,,not_at_all,quite_a_bit,a_little,a_little,moderately,very_much,moderately,often_true,often_true,often_true,sometimes_true,often_true,often_true,often_true,often_true,often_true,often_true,often_true,often_true,often_true,often_true,FALSE,span_dots_gabor_breath_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.2 Safari/605.1.15",29647
44,20,United Kingdom,female,,0,0,0,na,quite_a_bit,quite_a_bit,moderately,moderately,quite_a_bit,quite_a_bit,moderately,often_true,often_true,very_often_or_always_true,often_true,sometimes_true,often_true,often_true,often_true,sometimes_true,often_true,sometimes_true,often_true,very_often_or_always_true,very_often_or_always_true,FALSE,dots_breath_gabor_span_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",29650
45,19,United Kingdom,female,,0,0,0,,not_at_all,a_little,moderately,a_little,a_little,moderately,quite_a_bit,sometimes_true,rarely_true,sometimes_true,rarely_true,often_true,often_true,sometimes_true,sometimes_true,very_often_or_always_true,very_often_or_always_true,often_true,often_true,very_often_or_always_true,very_often_or_always_true,FALSE,span_gabor_dots_breath_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",29655
46,22,United Kingdom,male,,5,0,1,,moderately,quite_a_bit,very_much,not_at_all,a_little,quite_a_bit,a_little,often_true,rarely_true,often_true,sometimes_true,rarely_true,often_true,very_often_or_always_true,very_often_or_always_true,often_true,sometimes_true,sometimes_true,rarely_true,very_often_or_always_true,often_true,TRUE,breath_gabor_dots_span_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",29658
47,21,United Kingdom,female,,1,0,0,only for short periods of time casually.,quite_a_bit,a_little,quite_a_bit,quite_a_bit,quite_a_bit,a_little,moderately,sometimes_true,rarely_true,sometimes_true,sometimes_true,often_true,rarely_true,sometimes_true,sometimes_true,often_true,sometimes_true,often_true,rarely_true,often_true,rarely_true,FALSE,span_breath_gabor_dots_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",29673
48,21,United Kingdom,female,she they,3,0,0,guided,not_at_all,moderately,quite_a_bit,quite_a_bit,a_little,a_little,a_little,often_true,rarely_true,rarely_true,sometimes_true,rarely_true,often_true,very_often_or_always_true,often_true,sometimes_true,often_true,sometimes_true,often_true,sometimes_true,often_true,FALSE,span_gabor_dots_breath_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",29675
49,21,United Kingdom,female,,10,0,0,guided meditation,not_at_all,a_little,not_at_all,not_at_all,not_at_all,not_at_all,a_little,rarely_true,never_or_very_rarely_true,never_or_very_rarely_true,never_or_very_rarely_true,never_or_very_rarely_true,never_or_very_rarely_true,rarely_true,rarely_true,sometimes_true,never_or_very_rarely_true,sometimes_true,never_or_very_rarely_true,sometimes_true,never_or_very_rarely_true,TRUE,span_gabor_dots_breath_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",29685
50,20,United Kingdom,female,,20,3,2,meditating on the Word of God and reflection.,a_little,moderately,a_little,a_little,moderately,not_at_all,a_little,rarely_true,rarely_true,sometimes_true,sometimes_true,often_true,sometimes_true,often_true,sometimes_true,sometimes_true,rarely_true,sometimes_true,sometimes_true,often_true,sometimes_true,FALSE,dots_gabor_span_breath_end,sona,"Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",29690
51,20,United Kingdom,female,,0,0,0,,moderately,not_at_all,a_little,moderately,very_much,quite_a_bit,a_little,sometimes_true,never_or_very_rarely_true,often_true,rarely_true,often_true,sometimes_true,sometimes_true,sometimes_true,often_true,rarely_true,often_true,rarely_true,often_true,sometimes_true,TRUE,breath_dots_span_gabor_end,sona,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",29691
52,19,Lebanon,female,,0,0,0,,not_at_all,a_little,moderately,not_at_all,not_at_all,not_at_all,a_little,rarely_true,never_or_very_rarely_true,sometimes_true,sometimes_true,sometimes_true,never_or_very_rarely_true,often_true,sometimes_true,rarely_true,never_or_very_rarely_true,often_true,never_or_very_rarely_true,sometimes_true,rarely_true,FALSE,breath_span_gabor_dots_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",29692
53,20,Jersey,female,,0,0,0,,a_little,a_little,a_little,moderately,moderately,a_little,a_little,often_true,sometimes_true,often_true,sometimes_true,sometimes_true,rarely_true,often_true,often_true,sometimes_true,sometimes_true,sometimes_true,rarely_true,often_true,rarely_true,TRUE,span_breath_dots_gabor_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",29698
54,20,United Kingdom,female,,0,0,0,,not_at_all,quite_a_bit,quite_a_bit,very_much,a_little,quite_a_bit,moderately,rarely_true,rarely_true,sometimes_true,often_true,often_true,often_true,very_often_or_always_true,very_often_or_always_true,often_true,rarely_true,often_true,rarely_true,often_true,sometimes_true,TRUE,gabor_span_dots_breath_end,sona,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36 Edg/111.0.1661.62",29700
