"","email","URN_pre","Q1_1_pre","Q1_2_pre","Q3_pre","Q4_pre","Q5_pre","Q6_pre","Q7_pre","Q8_pre","Q9_pre","Q9_1_a_pre","Q9_2_a_pre","Q9_3_a_pre","Q9_4_a_pre","Q9_5_a_pre","Q9_6_a_pre","Q9_7_a_pre","Q9_8_a_pre","Q9_9_a_pre","Q9_10_a_pre","Q9_11_a_pre","Q9_12_a_pre","Q9_13_a_pre","Q9_14_a_pre","Q9_15_a_pre","Q9_16_a_pre","Q9_17_a_pre","Q9_18_a_pre","Q9_19_a_pre","Q9_20_a_pre","Q9_21_a_pre","Q9_22_a_pre","Q9_23_a_pre","Q9_24_a_pre","Q10_pre","Q10_1_a_pre","Q10_2_a_pre","Q10_3_a_pre","Q10_4_a_pre","Q10_5_a_pre","Q10_6_a_pre","Q10_7_a_pre","Q10_8_a_pre","Q10_9_a_pre","Q10_10_a_pre","Q11_pre","Q11_1_a_pre","Q11_2_a_pre","Q11_3_a_pre","Q11_4_a_pre","Q12_a_pre","Q12_a_1_a_pre","Q12_a_2_a_pre","Q12_a_3_a_pre","Q12_a_4_a_pre","Q12_a_5_a_pre","Q12_a_6_a_pre","Q12_a_7_a_pre","Q12_a_8_a_pre","Q12_a_9_a_pre","Q12_a_10_a_pre","Q12_a_11_a_pre","Q12_a_12_a_pre","Q12_a_13_a_pre","Q12_a_14_a_pre","Q12_a_15_a_pre","Q12_a_16_a_pre","Q12_a_17_a_pre","Q12_a_18_a_pre","Q12_a_19_a_pre","Q12_a_20_a_pre","Q12_a_21_a_pre","Q12_a_22_a_pre","Q13_a_pre","Q13_a_1_a_pre","Q13_a_2_a_pre","Q13_a_3_a_pre","Q13_a_4_a_pre","Q13_a_5_a_pre","Q13_a_6_a_pre","Q13_a_7_a_pre","Q13_a_8_a_pre","Q13_a_9_a_pre","Q13_a_10_a_pre","Q13_a_11_a_pre","Q13_a_12_a_pre","Q13_a_13_a_pre","Q13_a_14_a_pre","Q13_a_15_a_pre","Q14_pre","Q14_1_pre","Q14_2_pre","Q14_3_pre","Q14_4_pre","Q14_5_pre","Q14_6_pre","Q14_7_pre","Q14_8_pre","Q14_9_pre","Q14_10_pre","Q14_11_pre","Q14_12_pre","Q14_13_pre","Q14_14_pre","Q14_15_pre","Q14_16_pre","Q14_17_pre","Q14_18_pre","StartDate_pre","CompletionDate_pre","URN_post","Q2_post","Q3_post","Q4_post","Q5_post","Q6_post","Q7_post","Q8_post","Q8_1_a_post","Q8_2_a_post","Q8_3_a_post","Q8_4_a_post","Q8_5_a_post","Q8_6_a_post","Q8_7_a_post","Q8_8_a_post","Q8_9_a_post","Q8_10_a_post","Q8_11_a_post","Q8_12_a_post","Q8_13_a_post","Q8_14_a_post","Q8_15_a_post","Q8_16_a_post","Q8_17_a_post","Q8_18_a_post","Q8_19_a_post","Q8_20_a_post","Q8_21_a_post","Q8_22_a_post","Q8_23_a_post","Q8_24_a_post","Q9_post","Q9_1_a_post","Q9_2_a_post","Q9_3_a_post","Q9_4_a_post","Q9_5_a_post","Q9_6_a_post","Q9_7_a_post","Q9_8_a_post","Q9_9_a_post","Q9_10_a_post","Q10_post","Q10_1_a_post","Q10_2_a_post","Q10_3_a_post","Q10_4_a_post","Q11_a_post","Q11_a_1_a_post","Q11_a_2_a_post","Q11_a_3_a_post","Q11_a_4_a_post","Q11_a_5_a_post","Q11_a_6_a_post","Q11_a_7_a_post","Q11_a_8_a_post","Q11_a_9_a_post","Q11_a_10_a_post","Q11_a_11_a_post","Q11_a_12_a_post","Q11_a_13_a_post","Q11_a_14_a_post","Q11_a_15_a_post","Q11_a_16_a_post","Q11_a_17_a_post","Q11_a_18_a_post","Q11_a_19_a_post","Q11_a_20_a_post","Q11_a_21_a_post","Q11_a_22_a_post","Q12_a_post","Q12_a_1_a_post","Q12_a_2_a_post","Q12_a_3_a_post","Q12_a_4_a_post","Q12_a_5_a_post","Q12_a_6_a_post","Q12_a_7_a_post","Q12_a_8_a_post","Q12_a_9_a_post","Q12_a_10_a_post","Q12_a_11_a_post","Q12_a_12_a_post","Q12_a_13_a_post","Q12_a_14_a_post","Q12_a_15_a_post","Q13_post","Q13_1_post","Q13_2_post","Q13_3_post","Q13_4_post","Q13_5_post","Q13_6_post","Q13_7_post","Q13_8_post","Q13_9_post","Q13_10_post","Q13_11_post","Q13_12_post","Q13_13_post","Q13_14_post","Q13_15_post","Q13_16_post","Q13_17_post","Q13_18_post","StartDate_post","CompletionDate_post","X","Condition","X1a","X1b","X1c","X2a","X2b","X3a","X3b","X4a","X4b","X5a","X5b","X6a","X6b","X7a","X7b","X8a","X8b","X9a","X9b","X10a","X10b"
"52","994","249463-249456-24518684","1","1","23","9","1992","female","5","7",NA,"3","3","3","4","3","4","4","4","3","3","4","2","3","4","5","3","2","2","4","4","3","2","2","4",NA,"3","5","5","1","2","5","3","1","4","5",NA,"4","4","4","4",NA,"4","1","4","3","1","2","1","2","1","2","3","1","1","3","3","3","4","4","4","1","3","3",NA,"5","2","5","3","4","4","5","4","3","4","5","5","5","5","4",NA,"1","6","2","6","2","5","1","3","3","4","6","1","2","5","2","4","1","3","2017-07-07 12:32:05 utc","2017-07-07 12:47:51 utc","249464-249457-24747573","23","9","1992","female","3","7",NA,"3","3","4","4","3","5","4","4","4","5","4","2","4","4","3","3","3","4","4","5","4","2","2","4",NA,"5","5","5","3","2","4","3","2","5","4",NA,"4","3","4","3",NA,"4","3","4","3","1","2","4","1","2","2","2","1","2","2","1","4","4","4","4","2","2","2",NA,"5","3","4","3","4","5","5","5","4","5","5","5","5","5","5",NA,"1","6","2","6","3","4","1","3","3","4","6","1","3","4","1","6","1","1","2017-07-20 13:37:40 utc","2017-07-20 13:50:26 utc","18","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"53","71","160375-160369-17774377","1","1","16","2","1995","male","2","6",NA,"4","4","4","5","3","4","5","2","3","3","4","2","3","4","4","2","3","3","4","4","3","3","4","4",NA,"4","5","4","3","3","4","2","3","4","3",NA,"4","3","3","2",NA,"3","2","3","2","1","3","2","2","3","2","1","1","3","3","2","3","2","2","3","2","1","2",NA,"4","4","5","3","4","5","4","4","4","4","4","2","4","4","4",NA,"5","5","2","4","4","5","3","4","2","5","4","5","3","4","2","5","3","4","2016-11-12 10:53:16 utc","2016-11-12 11:08:11 utc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","276","160375-160369-20006895","1","1","28","12","1994","female","7","4",NA,"4","3","4","4","3","4","4","2","4","5","2","2","2","3","4","4","3","3","3","5","3","3","4","2",NA,"2","3","2","5","4","2","4","4","2","2",NA,"1","1","2","1",NA,"4","2","2","2","3","1","4","1","1","3","3","1","3","1","2","1","2","2","1","4","2","2",NA,"4","4","2","2","4","3","1","4","2","2","3","4","4","4","5",NA,"6","2","3","2","4","4","6","4","4","3","2","5","5","3","3","3","3","4","2017-02-08 16:29:50 utc","2017-02-08 19:22:22 utc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","56","160375-160369-21917809","1","1","23","1","1998","female","1","1",NA,"2","4","5","5","3","4","5","3","2","4","3","3","2","5","4","3","4","4","5","5","3","4","4","3",NA,"4","3","5","4","4","4","2","3","3","2",NA,"3","2","2","1",NA,"2","3","1","2","1","4","4","4","3","2","2","1","3","2","1","2","2","2","3","1","3","1",NA,"4","4","4","5","5","5","2","2","4","5","5","1","5","5","4",NA,"4","3","2","3","4","2","4","2","2","4","2","5","4","3","6","3","2","3","2017-03-28 15:02:12 utc","2017-03-28 15:14:33 utc","179190-179183-22512375","23","1","1998","female ","8","7",NA,"4","4","4","5","3","5","4","2","4","5","3","5","3","5","5","2","4","3","5","5","2","5","5","4",NA,"3","3","4","2","3","5","3","2","2","4",NA,"4","4","4","4",NA,"2","3","2","3","1","3","3","4","3","1","2","1","4","3","1","2","2","2","2","1","3","3",NA,"5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",NA,"4","2","3","3","4","2","4","4","4","4","3","5","3","4","4","4","4","2","2017-04-19 17:18:06 utc","2017-04-19 17:26:54 utc","9","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"56","205","249463-249456-21973065","1","1","1","2","1993","female","1","2",NA,"3","3","2","1","2","4","3","4","2","3","3","4","3","2","4","2","4","3","2","4","3","4","4","2",NA,"4","5","5","2","4","5","3","4","4","4",NA,"3","3","3","3",NA,"2","2","4","3","3","3","2","1","2","2","1","1","4","3","2","3","2","4","2","1","1","3",NA,"4","3","4","1","4","4","1","4","3","2","4","2","2","3","1",NA,"1","5","2","2","2","6","4","4","3","5","4","1","2","5","3","5","1","1","2017-03-29 17:05:42 utc","2017-03-29 17:16:45 utc","249464-249457-22448687","1","2","1993","female","4","3",NA,"4","4","4","3","2","5","4","2","3","4","2","2","4","3","4","4","2","3","3","4","3","2","2","4",NA,"2","4","3","4","3","2","3","4","2","2",NA,"2","2","1","1",NA,"1","2","2","3","2","1","2","1","1","1","1","1","2","2","1","2","1","2","1","1","1","2",NA,"4","3","2","2","2","3","1","4","2","1","3","1","2","2","1",NA,"4","1","4","2","4","5","4","4","3","4","3","2","3","4","3","4","2","3","2017-04-16 13:00:13 utc","2017-04-16 13:07:01 utc","2","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"57","512","402361-402352-43830954","1","1","3","11","1999","female","1","6",NA,"4","3","2","3","2","5","4","3","3","5","3","4","3","4","4","5","4","3","3","5","2","3","4","1",NA,"5","4","4","3","4","5","1","3","5","4",NA,"2","1","2","1",NA,"2","1","4","3","4","2","3","1","3","2","2","1","4","2","4","2","2","3","2","1","4","2",NA,"4","4","5","3","2","5","4","3","4","5","5","1","4","4","5",NA,"1","5","4","6","5","3","5","5","5","3","6","6","4","4","3","5","5","2","2019-02-20 11:49:30 utc","2019-02-20 12:09:36 utc","402362-402353-44971946","3","11","1999","female","1","2",NA,"3","3","2","4","3","4","4","2","3","5","2","3","2","3","5","2","4","4","4","5","4","5","3","2",NA,"4","5","3","2","2","3","1","2","3","4",NA,"2","2","2","1",NA,"2","2","3","2","2","2","3","1","2","2","2","2","3","3","4","2","2","2","2","2","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","5","5","2","2","2","5","5","5","5","5","6","5","4","2","4","5","3","2019-03-15 09:20:03 utc","2019-03-15 09:35:45 utc","10","world","5","3","3","5","no","5.5","yes","6","yes","3","no","4","no","7","no","5","yes","5","yes","7","no"
"58","152","160375-160369-17879656","1","1","15","4","1998","female","7","5",NA,"4","3","2","3","3","3","3","3","4","4","2","3","2","2","3","3","3","2","3","4","3","3","3","3",NA,"4","3","4","3","3","3","3","3","4","3",NA,"2","2","2","2",NA,"2","2","1","1","3","2","3","2","2","1","1","2","3","2","2","2","2","2","1","2","2","2",NA,"4","3","3","3","4","4","3","2","4","3","4","4","3","3","2",NA,"4","3","3","4","3","4","4","4","3","3","4","4","4","5","3","4","3","4","2016-11-16 10:21:39 utc","2016-11-16 10:36:04 utc","179190-179183-18414375","15","4","1998","female","7","8",NA,"5","4","4","2","2","4","4","2","3","3","2","2","4","2","4","4","3","3","2","4","3","2","2","2",NA,"2","3","3","4","3","2","4","4","3","2",NA,"2","1","2","2",NA,"2","3","2","2","2","2","3","2","1","1","2","3","3","3","3","2","2","2","2","3","3","2",NA,"3","4","2","1","4","3","2","3","4","3","3","2","4","3","3",NA,"4","3","3","4","3","4","3","4","3","3","4","4","4","4","3","4","3","3","2016-12-05 10:01:45 utc","2016-12-05 10:15:37 utc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","815","402361-402352-48426216","1","1","8","3","1997","female","6","3",NA,"3","2","3","3","3","4","2","2","4","2","2","2","2","3","1","3","1","4","3","2","3","2","2","3",NA,"3","4","2","4","4","1","3","5","4","2",NA,"1","1","2","1",NA,"3","1","2","1","3","2","1","1","1","1","1","1","1","1","1","2","1","1","2","1","1","1",NA,"5","2","3","3","4","5","1","4","1","1","4","4","1","4","1",NA,"6","4","5","5","4","5","6","3","5","2","4","5","5","5","4","5","4","4","2019-07-01 14:55:54 utc","2019-07-01 15:17:01 utc","402362-402353-48963492","8","3","1997","female","1","1",NA,"2","4","2","4","3","1","3","3","4","2","2","3","2","3","3","2","2","2","2","3","4","3","3","3",NA,"1","3","4","3","3","3","4","2","3","2",NA,"2","2","2","1",NA,"2","1","2","1","1","3","1","1","1","3","1","1","1","1","1","3","1","2","2","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4","5","4","4","4","4","3","4","1","3","5","4","4","4","5","4","4","2019-07-22 10:50:34 utc","2019-07-22 11:02:25 utc","11","mental","3","3","50","40","yes","50","no","0","no","50","no","50","no","66.7","no","25","no","50","no","0","no"
"60","128","249463-249456-22210388","1","1","28","6","1992","male","1","1",NA,"3","3","4","2","3","4","5","5","5","2","3","5","5","5","4","2","5","4","5","2","5","5","5","4",NA,"3","5","4","4","5","4","4","4","5","4",NA,"1","1","1","1",NA,"1","2","2","4","3","2","3","4","2","4","2","1","3","4","1","1","1","1","1","1","1","1",NA,"5","4","5","2","4","5","4","5","4","5","5","5","5","5","5",NA,"6","3","5","5","6","3","6","6","6","5","5","6","6","5","6","1","4","6","2017-04-05 17:19:11 utc","2017-04-05 17:31:43 utc","249464-249457-23395658","28","6","1992","male","1","1",NA,"4","4","4","5","4","5","4","4","2","5","2","3","4","3","5","3","2","4","4","5","2","2","3","2",NA,"2","2","4","5","4","2","4","2","3","4",NA,"1","1","1","1",NA,"1","2","1","4","1","1","1","1","1","1","1","1","1","4","1","1","1","1","1","3","1","1",NA,"3","2","2","2","2","2","2","3","2","1","1","1","1","1","1",NA,"4","3","5","1","4","5","5","6","6","2","2","5","6","4","6","4","1","5","2017-05-23 20:10:10 utc","2017-05-23 20:17:02 utc","15","mental","1","1","10","9","yes","6","yes","3","yes","2","yes","7","yes","7","yes","6","yes","5","yes","5","yes"
"61","53","249463-249456-22451642","1","1","30","8","1988","female","2","2",NA,"3","3","3","3","3","3","2","4","3","2","3","4","2","3","4","2","3","2","3","3","3","4","4","2",NA,"3","2","3","4","4","2","3","3","3","2",NA,"1","1","1","1",NA,"1","1","2","2","1","1","1","1","1","2","2","1","1","1","1","1","1","2","1","1","2","1",NA,"2","3","1","1","1","1","1","1","1","1","1","1","1","1","1",NA,"6","2","6","2","5","1","5","5","5","1","3","2","5","2","6","2","6","6","2017-04-16 18:09:49 utc","2017-04-16 18:27:32 utc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","world","5","5",NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"62","62","301170-301162-32169924","1","1","26","6","1993","female","7","10",NA,"5","5","3","1","1","3","2","3","4","3","1","3","3","1","4","4","1","2","1","5","2","2","2","1",NA,"1","2","4","4","4","3","5","4","1","1",NA,"3","2","2","2",NA,"2","3","2","1","3","1","4","1","2","1","4","1","2","1","1","2","2","1","3","2","4","1",NA,"2","4","4","5","4","5","2","2","5","4","4","2","4","4","2",NA,"5","4","5","1","5","2","5","6","6","1","1","6","5","1","5","2","6","5","2018-03-12 12:45:57 utc","2018-03-12 13:50:25 utc","301171-301163-36394200","26","6","1993","female","8","10",NA,"5","5","4","1","1","4","1","2","3","5","1","1","4","2","5","5","1","4","1","5","4","2","2","1",NA,"1","2","3","5","4","2","5","4","1","1",NA,"2","1","2","1",NA,"1","1","2","3","3","2","3","1","1","1","3","2","1","2","1","1","1","1","1","3","3","1",NA,"1","2","2","4","2","1","4","3","3","5","4","1","4","4","3",NA,"5","1","6","1","6","2","5","6","6","1","1","6","4","2","5","1","1","6","2018-06-17 10:18:29 utc","2018-06-17 10:27:49 utc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","154","160375-160369-19016169","1","1","6","2","1995","male","6","4",NA,"4","4","4","2","2","2","2","4","3","2","3","4","4","2","2","3","3","4","3","2","4","4","4","2",NA,"3","4","3","4","3","4","3","3","4","3",NA,"3","3","2","2",NA,"2","3","2","3","2","3","4","1","3","2","1","1","3","3","2","3","2","2","2","3","3","2",NA,"3","4","4","2","4","4","2","4","4","2","4","2","2","3","4",NA,"5","3","4","3","4","6","2","4","4","4","4","2","2","4","3","4","2","4","2017-01-07 16:49:32 utc","2017-01-07 16:59:27 utc","179190-179183-19751792","6","2","1995","male","4","2",NA,"4","4","4","3","2","2","3","3","4","2","2","3","2","3","2","4","4","3","3","2","3","4","4","3",NA,"3","3","4","3","3","2","3","3","2","2",NA,"2","2","1","1",NA,"2","2","3","3","1","3","1","1","2","2","4","1","3","3","2","2","2","2","2","1","4","1",NA,"4","2","2","2","4","4","2","4","4","5","3","3","4","3","2",NA,"4","3","5","5","4","6","4","5","4","4","3","2","3","4","2","4","3","4","2017-02-01 16:20:39 utc","2017-02-01 16:41:20 utc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","304","301170-301162-34066228","1","1","19","5","1992","female","1","3",NA,"2","2","4","3","4","4","3","4","3","2","4","4","3","3","4","3","4","4","3","2","4","4","4","3",NA,"3","3","4","4","3","3","3","3","3","3",NA,"2","2","1","2",NA,"2","2","2","3","1","2","2","2","1","1","1","1","2","2","2","2","1","2","2","1","1","1",NA,"4","4","4","3","3","3","3","5","4","3","4","4","4","4","5",NA,"3","4","4","3","5","3","4","5","5","2","5","3","3","5","5","5","4","3","2018-04-17 18:35:14 utc","2018-04-17 19:08:55 utc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","446","160375-160369-17983577","1","1","29","1","1995","female","3","1",NA,"4","4","3","5","2","5","4","2","3","2","2","2","2","4","5","5","4","1","4","4","2","3","3","4",NA,"3","2","4","3","3","3","2","2","3","2",NA,"3","2","3","2",NA,"3","2","2","2","1","2","4","2","1","2","3","2","3","1","3","3","2","2","2","4","2","1",NA,"4","4","3","1","1","3","3","4","4","1","4","1","1","5","4",NA,"5","2","4","5","3","4","5","3","4","3","3","5","4","4","4","2","3","4","2016-11-19 20:23:34 utc","2016-11-19 20:39:20 utc","179190-179183-18884487","29","1","1995","female","1","2",NA,"4","4","3","3","1","3","4","4","3","3","1","2","3","3","5","5","4","3","3","3","4","2","4","3",NA,"2","3","2","3","3","2","2","3","2","2",NA,"1","1","1","2",NA,"3","1","2","4","2","3","1","1","2","3","2","2","3","3","2","1","2","1","1","2","3","1",NA,"4","2","2","4","3","4","1","3","2","2","2","1","2","2","4",NA,"5","3","5","5","3","4","6","4","5","2","1","5","2","5","5","5","4","6","2016-12-28 21:46:06 utc","2016-12-28 21:55:40 utc","6","world","-1","2","4","2","yes","7","yes","6","no","6","yes","8","no","6","no","5","yes","5","no","4","no"
"66","924","249463-249456-24182563","1","1","26","6","1988","female","1","1",NA,"4","4","4","2","1","3","1","1","3","2","2","2","4","1","2","4","1","1","1","1","2","1","1","1",NA,"2","2","3","4","4","2","3","3","3","2",NA,"3","1","2","4",NA,"2","1","3","3","2","2","2","3","2","2","2","2","2","1","2","1","2","1","2","1","1","1",NA,"2","2","1","1","3","3","2","2","1","5","2","1","4","1","1",NA,"3","3","6","3","6","2","6","6","5","1","4","6","4","1","5","1","6","6","2017-06-22 09:03:41 utc","2017-06-22 09:22:57 utc","249464-249457-24625522","26","6","1988","female","1","1",NA,"4","4","4","1","1","5","2","1","4","4","1","3","4","1","3","4","2","4","1","4","4","1","1","1",NA,"1","1","2","4","4","3","3","4","2","1",NA,"1","1","1","3",NA,"1","1","2","3","1","1","2","1","1","1","1","1","1","2","1","1","1","1","1","2","2","1",NA,"1","1","1","1","1","1","1","2","3","1","1","1","3","1","1",NA,"2","2","6","2","5","2","4","5","5","1","2","1","4","1","2","3","5","5","2017-07-13 09:11:51 utc","2017-07-13 09:25:02 utc","5","mental","4","3","4","10","no","0","no","0","no","0","no","0","no","0","yes","0","yes","0","yes",NA,""
"67","404","249463-249456-22478896","1","1","20","3","1992","male","3","3",NA,"4","4","4","2","3","2","3","3","4","4","3","4","1","2","2","3","4","3","3","4","3","4","4","4",NA,"3","4","4","4","3","4","3","3","2","3",NA,"2","1","2","1",NA,"2","1","3","2","1","2","2","1","2","2","1","2","3","1","1","2","2","2","3","2","1","1",NA,"5","4","2","2","5","4","3","4","4","5","5","3","5","5","5",NA,"5","3","5","2","5","4","4","5","5","2","5","4","5","2","6","4","4","4","2017-04-18 12:30:23 utc","2017-04-18 12:44:34 utc","249464-249457-22968172","20","3","1992","male ","2","8",NA,"4","4","3","3","2","3","3","3","3","2","3","4","1","3","2","3","5","3","2","3","3","5","5","3",NA,"3","3","4","3","4","3","3","4","2","3",NA,"3","3","2","1",NA,"3","1","1","3","1","3","2","1","2","2","2","2","3","2","1","2","2","3","1","1","1","1",NA,"5","4","3","2","3","4","2","4","3","5","4","3","5","4","4",NA,"4","5","5","2","5","3","5","5","5","3","4","3","5","1","6","4","6","5","2017-05-08 16:30:57 utc","2017-05-08 16:39:51 utc","19","control",NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,""
"68","896","160375-160369-20927657","1","1","17","5","1995","female","2","4",NA,"2","3","4","5","5","5","5","3","3","4","4","3","3","5","2","4","4","2","5","2","3","3","3","4",NA,"3","4","4","3","4","5","4","4","4","4",NA,"1","1","1","1",NA,"1","1","1","2","1","2","2","2","1","1","1","1","1","1","1","1","1","1","3","1","1","1",NA,"4","4","3","3","2","3","3","3","4","1","2","1","1","1","1",NA,"5","4","5","3","5","3","4","4","5","4","5","6","5","4","6","4","4","4","2017-03-04 15:30:20 utc","2017-03-04 15:39:03 utc","179190-179183-21540202","17","5","1995","female","4","5",NA,"4","3","3","4","3","5","5","3","4","4","3","2","3","3","4","2","2","3","4","2","3","3","3","4",NA,"3","4","4","4","5","4","5","4","2","2",NA,"2","1","1","2",NA,"1","1","1","1","1","2","2","2","1","1","1","1","1","1","1","1","1","1","2","2","1","1",NA,"4","4","2","1","1","1","1","1","2","1","1","1","1","1","1",NA,"5","5","5","2","6","5","5","4","4","3","4","5","5","4","5","4","4","5","2017-03-18 13:57:35 utc","2017-03-18 14:02:49 utc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","502","249463-249456-21859602","1","1","15","5","1993","female","3","1",NA,"2","3","2","4","3","3","5","4","2","3","2","4","3","4","4","2","4","2","5","5","2","4","4","2",NA,"4","5","5","2","2","4","3","2","3","4",NA,"4","4","3","2",NA,"1","2","3","3","1","4","3","3","3","3","1","1","4","3","3","4","1","4","3","3","2","1",NA,"4","4","4","4","4","5","2","2","4","2","4","4","2","4","5",NA,"2","4","4","6","1","4","3","3","4","4","5","3","4","5","3","5","1","4","2017-03-27 13:09:52 utc","2017-03-27 13:18:03 utc","249464-249457-22322249","15","5","1993","female","1","1",NA,"3","3","2","3","2","4","3","3","3","4","2","3","3","3","4","2","2","3","3","5","3","3","3","2",NA,"2","2","3","3","4","3","3","3","2","2",NA,"2","1","1","1",NA,"1","1","2","2","1","1","1","1","1","2","3","1","3","2","2","3","1","2","1","1","3","1",NA,"4","4","4","2","4","4","1","4","4","4","4","4","4","4","4",NA,"4","3","5","3","4","3","2","4","4","3","5","4","3","5","4","4","3","4","2017-04-10 13:26:41 utc","2017-04-10 13:34:10 utc","7","mind","-2","-2","9","7","yes","6","no","1","yes","1","yes","9","no","7","yes","7","yes","8","yes","7","yes"
