"","condition_pre","feedback_post","authentic_post","authentic_3_TEXT_post","useful_post","useful_4_TEXT_post"
"12766","mental","","1","","4","I enjoyed it when I was in the right mood to be mindful and meditate. There were some occasions where I found it annoying because I wasn't in the right headspace to do it."
"39010","world","","1","","1",""
"55199","world","","1","","1",""
"81139","mental","","","","",""
"50988","world",NA,NA,NA,NA,NA
"58241","mental","thank you","1","","1",""
"94755","world",NA,NA,NA,NA,NA
"41788","mental","","1","","1",""
"25829","mental",NA,NA,NA,NA,NA
"40476","world",NA,NA,NA,NA,NA
"95208","mental",NA,NA,NA,NA,NA
"29516","world","","1","","1",""
"10282","world",NA,NA,NA,NA,NA
"76787","world",NA,NA,NA,NA,NA
"88278","world","","1","","1",""
"36541","world","","1","","4","I found this course more useful than I expected, to the point where I looked forward to taking part and it became part of my routine"
"75605","world","","1","","2,4","no useful but not unenjoyable"
"96216","mental",NA,NA,NA,NA,NA
"35581","mental","I felt it was a really good introduction to mindfulness. The guidance was very useful to me as many times (and in general in life) I find my mind wandering, it was reassuring to know that this is normal processing of the mind and that the way in which I practised was improving. I found the voice guidance very soothing  and reassuring, although felt the sound quality could have been louder at times - this could be a technological issue but it felt at times not loud enough in my headphones. ","1,3","I say yes to the extent that I have not participated in any other mindfulness courses - therefore for my limited experience it felt authentic as my capability to meditate was improved because of the course.","4","I found the course useful for bringing my awareness to mindfulness in a focused way which I previously had not done/ been capable of doing without the guidance."
"55852","world","I learnt not to do it when at all tired.  I kept distractions away so the less than 100% score was my sleepiness!","1","","1",""
"92761","world",NA,NA,NA,NA,NA
"65307","world","","1","","1",""
"64803","mental",NA,NA,NA,NA,NA
"59873","mental","","","","",""
"69449","mental","Really interesting, was so helpful to have you thoughtfully explain things to us that other people take as a given (eg what letting go can mean), also very sexy voice ","1","","1,4","it's too early to say whether it really helped with my mental health, but it helped me realise some avoidant habits I have and learn some ways to address them"
"84857","mental",NA,NA,NA,NA,NA
"59134","world","","1","","1",""
"26729","world","","1","","2",""
"87312","mental",NA,NA,NA,NA,NA
"47723","world",NA,NA,NA,NA,NA
"49358","mental",NA,NA,NA,NA,NA
"51711","mental","","2","","1",""
"41267","world",NA,NA,NA,NA,NA
"75256","mental","in first lessons it was too much talking, i barely started to go into the task and then it changed, or i wanted to sit in the silence and the voice distracted me ","2","","2,3",""
"60567","mental",NA,NA,NA,NA,NA
"23415","mental",NA,NA,NA,NA,NA
"73288","mental",NA,NA,NA,NA,NA
"19351","mental",NA,NA,NA,NA,NA
"49032","world","I just lost interest really fast with the course, even though I tried to get it back.","1","","2",""
"66678","world","","1","","1",""
"75187","mental","","1","","1",""
"18676","world",NA,NA,NA,NA,NA
"79611","world","it was nice having time to stop during the day. I have discussed with my mental health worker at Mind about meditation courses, so thank you for introducing me to this :)","1","","1",""
"96250","world",NA,NA,NA,NA,NA
"91976","mental","","1","","2",""
"98559","world","","1","","1",""
"18100","mental","Nothing to do with the content of the course - when the voice was leading the meditation, I could hear when the audio cut out sometimes (e.g. in the beginning of each practice when we were given two mins to practice breathing). I think that it would be better if there were no cut outs because then it makes participants really feel like they have someone with them to guide them throughout the course.","1","","1",""
"55933","world",NA,NA,NA,NA,NA
"74211","mental","i enjoyed the study very much and would like to take more studies like that","1","","1",""
"94830","mental","I came across this study smack bang in the middle of a 2 weeks period, where i have been in a bad place mentally. I suffer from anxiety since the death of my mom 3 years ago and i was in quite a dark place.I had alot of stress going on and i had failed on a big goal of mine that had really upset me. Over this 10 day course this has helped me significantly! I have found me using it in times when im getting stressed, i am much more able to bring myself into the present moment and stop my mind racing with unnecessary thoughts. I have been much happier and alot more calmer! I have been able to see things much more clearer and make sense of the way i feel. I will definitely continue to use these practices everyday. Thank you so so much! ","1","","1",""
"62730","mental",NA,NA,NA,NA,NA
"36271","world",NA,NA,NA,NA,NA
"32355","mental",NA,NA,NA,NA,NA
"54979","world",NA,NA,NA,NA,NA
"28924","world","The constant changes between keyboard-input and mouse-input in the opening and closing surveys made it harder to engage with the task at hand. Additionally, the small size of the confidence scale for each trial made it very difficult to select my responses, limiting accessibility.","1","","2",""
"81832","mental","I used to meditate long time ago and then stopped for a couple of years until your curse. This was very helpful for me and I feel a lot better now.","1","","1",""
"43251","mental","","1","","1",""
"25642","mental","","1,3","Introduced me to a new way of being mindful about a given moment","1",""
"99754","mental","","1","","1",""
"28204","world","","1","","1",""
"52343","world","","1","","1",""
"42941","world",NA,NA,NA,NA,NA
"20801","world",NA,NA,NA,NA,NA
"81961","mental",NA,NA,NA,NA,NA
"12194","mental",NA,NA,NA,NA,NA
"10490","world",NA,NA,NA,NA,NA
"58235","world","Thanks for the experience!","1,3","I think it is a great introduction to meditation. Or at least if felt like it.","1,4","I found the course useful."
"31634","mental",NA,NA,NA,NA,NA
"29890","world",NA,NA,NA,NA,NA
"19441","mental","","1","","1",""
"28648","world","man's voice was very relaxing and helped focusing, but for me a single practice which lasted for 10 minutes and voice recording lasting for 12 minutes was annoying..","1","","1",""
"30505","world","","1","","3",""
"99518","world",NA,NA,NA,NA,NA
"82693","mental","","1","","1",""
"85364","world","","1","","1",""
"42751","world","I loved the meditation beacuse it encouraged me to do it again as I used to do like 2 years ago, and I really liked the feeling ","1","","1",""
