"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","Q1_1"
"11",11,"2022-02-03 10:33:14","2022-02-03 11:28:26","0","46.31.241.44","100","3311","1","2022-02-03 11:28:27","R_3MiJXRqV3qCd26O","","","FO8WPZZLG5QEJUBAMNVN","","49.455596923828125","-2.53460693359375","email","EN","1","0","0","574.06","0","86"
"12",12,"2022-02-04 10:58:42","2022-02-04 10:58:50","0","213.205.194.125","100","8","1","2022-02-04 10:58:50","R_Xp69rPbGjrF9p1D","","","3LB0MSXCWC0K1P1LF6PF","","51.4167022705078125","-0.0832061767578125","email","EN","1","0.621","1.902","2.427","2","78"
"13",13,"2022-02-04 11:07:53","2022-02-04 11:08:17","0","185.69.144.255","100","23","1","2022-02-04 11:08:17","R_rfnvu6am2WCA0Rr","","","BTW8QZEWLE1SE8MYIUZ5","","51.49639892578125","-0.122406005859375","email","EN","1","0.62","5.711","9.824","3","90"
"14",14,"2022-02-06 10:57:40","2022-02-06 10:58:17","0","31.220.216.31","100","36","1","2022-02-06 10:58:17","R_2qfaGnQwPXYFFZi","","","LDTEY452Y2DDXW0RHAI2","","51.3065032958984375","1.0366058349609375","email","EN","1","0","0","1.982","0","43"
"15",15,"2022-02-06 14:30:09","2022-02-06 14:41:07","0","82.27.90.83","100","658","1","2022-02-06 14:41:08","R_3VREcr2ug7AhQ3f","","","3NUCMCBJ17F2JE9USHZ2","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","646.413","0","44"
"16",16,"2022-02-07 12:20:29","2022-02-07 12:28:17","0","139.184.223.173","100","467","1","2022-02-07 12:28:17","R_vqVBjOI9pn7pjvr","","","YF81WHOFK1XPJQQH22RA","","50.8612060546875","-0.1194000244140625","email","EN","2","0","0","456.257","0","60"
"17",17,"2022-02-09 09:57:22","2022-02-09 09:57:34","0","139.184.223.126","100","11","1","2022-02-09 09:57:35","R_3FPYeRjoEpAPBZU","","","6OBGT0GFK0AH65S4J42R","","50.8612060546875","-0.1194000244140625","email","EN","1","1.243","2.501","2.641","3","97"
"18",18,"2022-02-09 12:57:50","2022-02-09 13:10:35","0","139.184.223.170","100","765","1","2022-02-09 13:10:35","R_RwpC157z9kNDzbz","","","0UTDLD0A4WLGFIHHV3R8","","50.8612060546875","-0.1194000244140625","email","EN","1","39.88","39.88","756.539","1","98"
"19",19,"2022-02-10 14:30:44","2022-02-10 14:43:15","0","81.97.236.153","100","750","1","2022-02-10 14:43:15","R_1IS26MJvF3svfwE","","","2U69F3213VGT2LMG2NR6","","50.8612060546875","-0.1194000244140625","email","EN","2","0","0","730.162","0","91"
"20",20,"2022-02-12 12:23:43","2022-02-12 12:37:16","0","81.158.204.23","100","813","1","2022-02-12 12:37:17","R_pbDEEi2VXCuNemd","","","2W5FU749FV6WT8778NJ7","","50.9972991943359375","-0.1053009033203125","email","EN","1","0","0","795.392","0","80"
"21",21,"2022-02-12 21:42:26","2022-02-12 21:55:08","0","5.64.90.128","100","762","1","2022-02-12 21:55:09","R_1dzqHiDcMIxHgNe","","","3A04BC5OX62CXQ8XRYQE","","50.834503173828125","-0.186004638671875","email","EN","1","0","0","735.63","0","55"
"22",22,"2022-02-15 08:19:17","2022-02-15 08:19:48","0","86.25.144.36","100","30","1","2022-02-15 08:19:48","R_1DuoFNnLJG14kDh","","","RIJBT2XA2Q2NTFUXWO0Q","","50.8428955078125","-0.1157989501953125","email","EN","1","0.999","16.54","17.484","3","56"
"23",23,"2022-02-15 14:48:52","2022-02-15 15:03:40","0","82.11.133.252","100","887","1","2022-02-15 15:03:40","R_3hnWSxdByuitmjI","","","6V6T11X91HKR8836IM37","","50.800994873046875","-0.4380950927734375","email","EN","2","34.632","34.632","878.316","1","81"
"24",24,"2022-02-16 11:05:27","2022-02-16 11:17:37","0","31.205.9.14","100","729","1","2022-02-16 11:17:37","R_2TnFfKcB1x1R5wO","","","Q8UXQFZAMPOCORMGOM35","","50.8428955078125","-0.1157989501953125","email","EN","1","0","0","714.843","0","57"
"25",25,"2022-02-16 11:33:01","2022-02-16 11:33:27","0","37.60.109.183","100","26","1","2022-02-16 11:33:29","R_3lW7hZ7JpObA9LJ","","","L3XIMKV8H8P3J8L0IKXF","","50.8612060546875","-0.1194000244140625","email","EN","1","0.618","17.634","18.231","10","66"
"26",26,"2022-02-17 17:30:22","2022-02-17 17:41:30","0","139.184.223.123","100","667","1","2022-02-17 17:41:31","R_239mr39XcBwvDCI","","","H0EJJ060230FGGO3IRHP","","50.8612060546875","-0.1194000244140625","email","EN","2","0","0","646.182","0","10"
"27",27,"2022-02-21 09:08:33","2022-02-21 09:20:32","0","213.205.242.207","100","718","1","2022-02-21 09:20:32","R_1GZvWQEcubOqzc0","","","Z7SLWNSPUUNQWBGSKCJ9","","52.4662933349609375","-1.854400634765625","anonymous","EN","1","0.701","699.272","699.796","5","92"
"28",28,"2022-02-21 10:00:08","2022-02-21 10:00:18","0","37.60.109.183","100","9","1","2022-02-21 10:00:18","R_2f33PcjOB7aSRXZ","","","PEDFJL9W1HH5HJ11MCVI","","50.8612060546875","-0.1194000244140625","email","EN","2","0","0","0.824","0","52"
"29",29,"2022-02-21 12:53:30","2022-02-21 12:53:51","0","37.60.109.182","100","21","1","2022-02-21 12:53:51","R_Qm4uW3qfVqrZF6h","","","2JRT3RPVGGDCNA2YC9ZX","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","6.522","0","50"
"30",30,"2022-02-22 13:46:21","2022-02-22 13:52:25","0","2.30.33.76","100","364","1","2022-02-22 13:52:26","R_2D5nZtrgyu9pdYJ","","","GT686NVIEH6LL5L6LGWD","","50.834503173828125","-0.186004638671875","email","EN","2","4.29","336.001","336.894","2","70"
"31",31,"2022-02-22 22:54:00","2022-02-22 23:51:49","0","139.184.223.240","100","3469","1","2022-02-22 23:51:50","R_e8TfU1OHNfxATw5","","","VPP7IQ0Z6XKFXMWQUW30","","50.8612060546875","-0.1194000244140625","email","EN","1","495.162","495.162","802.976","1","45"
