"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q6_First.Click","Q6_Last.Click","Q6_Page.Submit","Q6_Click.Count","Q1_1"
"11",11,"2022-01-31 11:59:47","2022-01-31 12:02:44","0","37.60.109.183","100","176","1","2022-01-31 12:02:44","R_1IarqZ9OTzxai2C","","","BTW8QZEWLE1SE8MYIUZ5","","51.52130126953125","-0.2714996337890625","email","EN","1","1.29","160.878","163.85","10","62"
"12",12,"2022-01-31 14:41:30","2022-01-31 14:42:45","0","193.176.30.112","100","75","1","2022-01-31 14:42:46","R_3qvDakN4kjVXCMv","","","9E8CFKXGPFBJIEBKGUEF","","51.531402587890625","-0.1703033447265625","email","EN","1","0","0","0.441","0","76"
"13",13,"2022-02-01 09:20:44","2022-02-01 09:46:20","0","31.205.226.15","100","1535","1","2022-02-01 09:46:20","R_RFym3hlrV6h84HD","","","3LB0MSXCWC0K1P1LF6PF","","50.8428955078125","-0.1157989501953125","email","EN","2","1.077","4.977","1522.806","3","47"
"14",14,"2022-02-02 10:24:13","2022-02-02 10:32:04","0","139.184.223.173","100","470","1","2022-02-02 10:32:04","R_2tgMKv8RRhAtLzl","","","YF81WHOFK1XPJQQH22RA","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","455.897","0","95"
"15",15,"2022-02-02 17:23:34","2022-02-02 17:34:05","0","82.27.90.83","100","631","1","2022-02-02 17:34:07","R_1Csb0k2Ajls6I4t","","","3NUCMCBJ17F2JE9USHZ2","","50.8612060546875","-0.1194000244140625","email","EN","2","61.699","76.276","617.935","3","59"
"16",16,"2022-02-03 21:46:52","2022-02-03 21:47:58","0","31.220.251.24","100","65","1","2022-02-03 21:47:58","R_1Lb9eJLMUUhtWcG","","","LDTEY452Y2DDXW0RHAI2","","51.54150390625","-0.0601043701171875","email","EN","2","15.391","15.391","17.888","1","22"
"17",17,"2022-02-06 10:43:25","2022-02-06 10:55:34","0","81.97.236.153","100","729","1","2022-02-06 10:55:34","R_2aQeqo7zZ4QvlLe","","","2U69F3213VGT2LMG2NR6","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","717.221","0","55"
"18",18,"2022-02-06 12:18:23","2022-02-06 12:18:34","0","81.111.70.239","100","11","1","2022-02-06 12:18:34","R_1JFt4pW1kguK3GQ","","","6OBGT0GFK0AH65S4J42R","","51.6551971435546875","-0.3878936767578125","email","EN","1","1.292","2.235","2.587","3","97"
"19",19,"2022-02-06 13:09:19","2022-02-06 13:21:56","0","139.184.223.168","100","756","1","2022-02-06 13:21:56","R_3fcxbMZy0CpkDrD","","","0UTDLD0A4WLGFIHHV3R8","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","743.874","0","92"
"20",20,"2022-02-08 14:21:05","2022-02-08 14:36:09","0","5.64.90.128","100","903","1","2022-02-08 14:36:10","R_bfPhmTuBDzAuynD","","","3A04BC5OX62CXQ8XRYQE","","50.834503173828125","-0.186004638671875","email","EN","1","436.967","436.967","889.069","1","55"
"21",21,"2022-02-09 23:14:54","2022-02-09 23:27:26","0","81.146.52.69","100","752","1","2022-02-09 23:27:28","R_1Ebpjh7jEi9gNmS","","","2W5FU749FV6WT8778NJ7","","50.9972991943359375","-0.1053009033203125","email","EN","1","0","0","734.075","0","50"
"22",22,"2022-02-12 10:45:58","2022-02-12 10:46:17","0","188.220.107.18","100","19","1","2022-02-12 10:46:17","R_XnUBEF7BCIjoXDz","","","RIJBT2XA2Q2NTFUXWO0Q","","51.3488006591796875","-0.0321044921875","email","EN","1","1.857","9.07","9.101","3","38"
"23",23,"2022-02-12 11:26:44","2022-02-12 11:27:36","0","92.40.196.35","100","51","1","2022-02-12 11:27:36","R_2XjTucJXyfJwKx9","","","L3XIMKV8H8P3J8L0IKXF","","51.49639892578125","-0.122406005859375","email","EN","1","0.606","40.112","40.884","5","61"
"24",24,"2022-02-12 19:52:52","2022-02-12 20:08:05","0","82.11.133.252","100","912","1","2022-02-12 20:08:06","R_3nSiDSpfRGY7twE","","","6V6T11X91HKR8836IM37","","50.800994873046875","-0.4380950927734375","email","EN","1","0","0","899.169","0","73"
"25",25,"2022-02-13 08:09:09","2022-02-13 08:21:18","0","143.244.37.13","100","728","1","2022-02-13 08:21:18","R_3EumZKFCv5C0m7J","","","Q8UXQFZAMPOCORMGOM35","","51.5095062255859375","-0.0955047607421875","email","EN","1","0.604","617.523","716.468","2","36"
"26",26,"2022-02-13 17:55:22","2022-02-13 19:08:08","0","37.60.109.183","100","4366","1","2022-02-13 19:08:10","R_1gpBfTq53lkf4zo","","","Z7SLWNSPUUNQWBGSKCJ9","","50.8612060546875","-0.1194000244140625","email","EN","1","0.801","0.801","730.301","1","87"
"27",27,"2022-02-14 09:13:56","2022-02-14 09:23:24","0","82.7.28.121","100","567","1","2022-02-14 09:23:26","R_32RQTi0BAKsWlM2","","","H0EJJ060230FGGO3IRHP","","50.8612060546875","-0.1194000244140625","email","EN","2","1.716","539.182","549.739","3","51"
"28",28,"2022-02-16 09:58:33","2022-02-16 10:04:27","0","2.30.33.76","100","353","1","2022-02-16 10:04:28","R_2nQ4ldyIziAwWbv","","","GT686NVIEH6LL5L6LGWD","","50.834503173828125","-0.186004638671875","email","EN","2","5.097","246.108","341.206","12","40"
"29",29,"2022-02-17 13:06:52","2022-02-17 13:19:14","0","139.184.223.240","100","741","1","2022-02-17 13:19:15","R_qyl3AFFrgDmXlsJ","","","VPP7IQ0Z6XKFXMWQUW30","","50.8612060546875","-0.1194000244140625","email","EN","2","0","0","725.605","0","71"
"30",30,"2022-02-18 09:32:46","2022-02-18 09:33:06","0","109.157.109.185","100","19","1","2022-02-18 09:33:06","R_2bN942WSTm0BssD","","","PEDFJL9W1HH5HJ11MCVI","","51.373504638671875","-2.359405517578125","email","EN","1","0","0","1.291","0","80"
"31",31,"2022-02-18 16:41:24","2022-02-18 16:41:59","0","37.60.109.183","100","35","1","2022-02-18 16:41:59","R_1K1fzRNq4fwMOLi","","","2JRT3RPVGGDCNA2YC9ZX","","50.8612060546875","-0.1194000244140625","email","EN","1","0","0","3.198","0","41"
"32",32,"2022-02-20 11:17:55","2022-02-20 11:30:29","0","37.60.109.183","100","754","1","2022-02-20 11:30:31","R_2YKuKEAgBAj9cU9","","","JO4YFOU022DUP6U5V76F","","50.8612060546875","-0.1194000244140625","anonymous","EN","1","43.736","43.736","749.349","1","13"
"33",33,"2022-02-20 19:16:26","2022-02-20 19:44:20","0","139.184.223.127","100","1674","1","2022-02-20 19:44:21","R_3k4wYlR5BdPdIi1","","","HQRGY81L9RTMD9WFQUG5","","50.8612060546875","-0.1194000244140625","anonymous","EN","1","0","0","762.465","0","71"
"34",34,"2022-02-21 23:51:41","2022-02-22 00:03:56","0","37.60.109.182","100","735","1","2022-02-22 00:03:58","R_2afpsuXcpZ3t8qJ","","","1NGB5171T9G4CU6STJWA","","50.8612060546875","-0.1194000244140625","email","EN","2","1.206","698.411","719.628","4","56"
"35",35,"2022-02-22 10:05:09","2022-02-22 10:05:29","0","139.184.223.153","100","20","1","2022-02-22 10:05:30","R_2wjHoydzEpgscPJ","","","YXRSVZL97GYGYHYDR7G7","","50.8612060546875","-0.1194000244140625","email","EN","2","0","0","1.031","0","72"
"36",36,"2022-02-23 11:02:10","2022-02-23 11:23:38","0","94.3.3.161","100","1287","1","2022-02-23 11:23:40","R_1He0TKycQkMBZ9N","","","AXW590FPX6A2PZAZP6CV","","50.8428955078125","-0.1157989501953125","email","EN","1","8.54","9.073","10.381","3","87"
"37",37,"2022-02-24 11:06:20","2022-02-24 11:18:43","0","86.151.132.47","100","743","1","2022-02-24 11:18:43","R_7a3exNL17bmyFj3","","","UQV46I4GDWTI5BLBORRT","","50.7666015625","0.2852020263671875","email","EN","1","16.476","16.476","720.841","1","95"
